Titulo,Enlace,Precio actual,Precio original,palabras_clave
Arquitectura de Software,https://www.skillingcenter.com/arquitectura-de-software.html,$500.00 MXN,"$1,000.00 MXN","arquitectura, software"
Auditoría de Calidad Aeroespacial,https://www.skillingcenter.com/auditoria-de-calidad-aeroespacial.html,$500.00 MXN,"$1,000.00 MXN","calidad, aeroespacial"
Base de Datos en Android,https://www.skillingcenter.com/base-de-datos-en-android.html,$500.00 MXN,"$1,000.00 MXN","datos, analisis"
Bienestar en la Educacion,https://www.skillingcenter.com/bienestar-en-la-educacion.html,"$1,250.00 MXN","$2,500.00 MXN","bienestar, salud, educacion"
Business Analytics,https://www.skillingcenter.com/business-analytics.html,"$1,250.00 MXN","$2,500.00 MXN","business, analisis, datos"
Business and International Trade,https://www.skillingcenter.com/business-and-international-trade.html,$500.00 MXN,"$1,000.00 MXN","negocios, internacional, comercio"
Business Treaties in the Region,https://www.skillingcenter.com/business-treaties-in-the-region.html,$500.00 MXN,"$1,000.00 MXN","negocios, internacional, tratados"
Cadenas de suministro globales,https://www.skillingcenter.com/cadenas-de-suministro-globales.html,$500.00 MXN,"$1,000.00 MXN","logistica"
Calidad Aeroespacial a Través del Tiempo,https://www.skillingcenter.com/calidad-aeroespacial-a-traves-del-tiempo.html,$500.00 MXN,"$1,000.00 MXN","calidad, aeroespacial"
Cierre de una venta,https://www.skillingcenter.com/cierre-de-una-venta.html,$500.00 MXN,"$1,000.00 MXN","ventas, negocios"
Cocina Molecular Española,https://www.skillingcenter.com/cocina-molecular-espa-f1ola.html,$500.00 MXN,"$1,000.00 MXN","cocina, gastronomia"
Código de Ética para Abogados,https://www.skillingcenter.com/codigo-de-etica-para-abogados.html,$500.00 MXN,"$1,000.00 MXN","etica, valores, humanidad, legal"
Comercialización Internacional,https://www.skillingcenter.com/comercializacion-internacional.html,$500.00 MXN,"$1,000.00 MXN","comercio, internacional"
Compraventa de Inmuebles,https://www.skillingcenter.com/compraventa-de-inmuebles.html,$500.00 MXN,"$1,000.00 MXN","ventas, negocios, bienesraices"
Contribuciones Fiscales,https://www.skillingcenter.com/contribuciones-fiscales.html,$500.00 MXN,"$1,000.00 MXN","fiscal, impuestos"
Contribuciones Municipales,https://www.skillingcenter.com/contribuciones-municipales.html,$500.00 MXN,"$1,000.00 MXN","impuestos, fiscal"
Creación de Entornos Escolares Positivos,https://www.skillingcenter.com/creacion-de-entornos-escolares-positivos.html,$500.00 MXN,"$1,000.00 MXN","educacion, bienestar"
Cuentas clave,https://www.skillingcenter.com/cuentas-clave.html,$500.00 MXN,"$1,000.00 MXN","finanzas, contabilidad"
Cuentas y cheques financieros,https://www.skillingcenter.com/cuentas-y-cheques-financieros.html,$500.00 MXN,"$1,000.00 MXN","finanzas, contabilidad"
Cuidado Nutricional Gastrointestinal,https://www.skillingcenter.com/cuidado-nutricional-gastrointestinal.html,$500.00 MXN,"$1,000.00 MXN","salud, nutricion"
Cultura en la Negociación,https://www.skillingcenter.com/cultura-en-la-negociacion.html,$500.00 MXN,"$1,000.00 MXN","negociacion, negocios"
Cultura Gastronómica Italiana,https://www.skillingcenter.com/cultura-gastronomica-italiana.html,$500.00 MXN,"$1,000.00 MXN","cocina, gastronomia"
Decisiones financieras,https://www.skillingcenter.com/decisiones-financieras.html,$500.00 MXN,"$1,000.00 MXN","finanzas, negocios"
Definición de Evento,https://www.skillingcenter.com/definicion-de-evento.html,$500.00 MXN,"$1,000.00 MXN","eventos, organizacion"
Definición de Inmuebles,https://www.skillingcenter.com/definicion-de-inmuebles.html,$500.00 MXN,"$1,000.00 MXN","bienesraices"
Demanda de la Cadena de Suministro,https://www.skillingcenter.com/demanda-de-la-cadena-de-suministro.html,$500.00 MXN,"$1,000.00 MXN","logistica"
Derecho Procesal Civil,https://www.skillingcenter.com/derecho-procesal-civil.html,$500.00 MXN,"$1,000.00 MXN","derecho, legal"
Derechos Humanos,https://www.skillingcenter.com/derechos-humanos.html,$500.00 MXN,"$1,000.00 MXN","derecho, legal"
Desarrollo de Proyectos en la Organización,https://www.skillingcenter.com/desarrollo-de-proyectos-en-la-organizacion.html,"$1,250.00 MXN","$2,500.00 MXN","gestion, proyectos"
Determinantes de la Desnutrición,https://www.skillingcenter.com/determinantes-de-la-desnutricion.html,$500.00 MXN,"$1,000.00 MXN","nutricion, salud"
Diagnóstico de Síndrome Metabólico,https://www.skillingcenter.com/diagnostico-de-sindrome-metabolico.html,$500.00 MXN,"$1,000.00 MXN","salud"
Dietoterapia en Etapas de Crecimiento,https://www.skillingcenter.com/dietoterapia-en-etapas-de-crecimiento.html,$500.00 MXN,"$1,000.00 MXN","nutricion, salud"
Diseñando una Presentación Efectiva,https://www.skillingcenter.com/dise-f1ando-una-presentacion-efectiva.html,$500.00 MXN,"$1,000.00 MXN","diseno, negocios"
Diseño de Bases de Datos Multimedia,https://www.skillingcenter.com/dise-f1o-de-bases-de-datos-multimedia.html,$500.00 MXN,"$1,000.00 MXN","sql, datos"
Diseño de Componentes de Software,https://www.skillingcenter.com/dise-f1o-de-componentes-de-software.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Diseño de Páginas Web,https://www.skillingcenter.com/dise-f1o-de-paginas-web.html,$500.00 MXN,"$1,000.00 MXN","software, programacion"
Diseño Estructurado del Software,https://www.skillingcenter.com/dise-f1o-estructurado-del-software.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Diseño organizacional,https://www.skillingcenter.com/dise-f1o-organizacional.html,"$1,250.00 MXN","$2,500.00 MXN","gestion, organizacion"
Diseño y Codificación en Swift,https://www.skillingcenter.com/dise-f1o-y-codificacion-en-swift.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Economical Manufacturing in Asia,https://www.skillingcenter.com/economical-manufacturing-in-asia.html,$500.00 MXN,"$1,000.00 MXN","negocios, internacional"
Economical Manufacturing in Europe,https://www.skillingcenter.com/economical-manufacturing-in-europe.html,$500.00 MXN,"$1,000.00 MXN","negocios, internacional"
Efectos Visuales en Adobe After Effects,https://www.skillingcenter.com/efectos-visuales-en-adobe-after-effects.html,$500.00 MXN,"$1,000.00 MXN","diseno, edicion"
"El A, B, C de una Buena Ortografía",https://www.skillingcenter.com/el-a-2c-b-2c-c-de-una-buena-ortografia.html,$500.00 MXN,"$1,000.00 MXN","ortografia, gramatica"
"El empresario, ¿nace o se hace?",https://www.skillingcenter.com/el-empresario-2c-nace-o-se-hace.html,$500.00 MXN,"$1,000.00 MXN","negocios"
El enfoque en fortalezas,https://www.skillingcenter.com/el-enfoque-en-fortalezas.html,$500.00 MXN,"$1,000.00 MXN","general, bienestar"
El Origen de los Derechos Humanos,https://www.skillingcenter.com/el-origen-de-los-derechos-humanos.html,$500.00 MXN,"$1,000.00 MXN","derecho, legal"
Enfoque en el aprendedor,https://www.skillingcenter.com/enfoque-en-el-aprendedor.html,$500.00 MXN,"$1,000.00 MXN","educacion, marketing"
Esqueletos Animados en Maya,https://www.skillingcenter.com/esqueletos-animados-en-maya.html,$500.00 MXN,"$1,000.00 MXN","animacion, diseno, tecnologia"
Estilos de Aprendizaje en el Deporte,https://www.skillingcenter.com/estilos-de-aprendizaje-en-el-deporte.html,$500.00 MXN,"$1,000.00 MXN","deporte, educacion"
Estrategia de Comercialización,https://www.skillingcenter.com/estrategia-de-comercializacion.html,$500.00 MXN,"$1,000.00 MXN","negocios, comercio"
Estrategia de compras,https://www.skillingcenter.com/estrategia-de-compras.html,$500.00 MXN,"$1,000.00 MXN","negocios"
Estrategia digital para negocios,https://www.skillingcenter.com/estrategia-digital-para-negocios.html,$500.00 MXN,"$1,000.00 MXN","negocios, tecnologia"
Estrategias de liderazgo positivo,https://www.skillingcenter.com/estrategias-de-liderazgo-positivo.html,$500.00 MXN,"$1,000.00 MXN","liderazgo, gestion"
Ética en la Labor Profesional,https://www.skillingcenter.com/etica-en-la-labor-profesional.html,$500.00 MXN,"$1,000.00 MXN","etica, valores, humanidad, negocios"
Ética en las relaciones públicas,https://www.skillingcenter.com/etica-en-las-relaciones-publicas.html,$500.00 MXN,"$1,000.00 MXN","etica, valores, humanidad"
Ética para Vivir en Sociedad,https://www.skillingcenter.com/etica-para-vivir-en-sociedad.html,$500.00 MXN,"$1,000.00 MXN","etica, valores, humanidad"
Etiquetas en eventos sociales,https://www.skillingcenter.com/etiquetas-en-eventos-sociales.html,$500.00 MXN,"$1,000.00 MXN","gestion, eventos"
Evolución de la Gastronomía Española,https://www.skillingcenter.com/evolucion-de-la-gastronomia-espa-f1ola.html,$500.00 MXN,"$1,000.00 MXN","gastronomia, cocina"
Evolución Restaurantera,https://www.skillingcenter.com/evolucion-restaurantera.html,$500.00 MXN,"$1,000.00 MXN","gastronomia, gestion, restaurantes"
Factorización en un Dos por Tres,https://www.skillingcenter.com/factorizacion-en-un-dos-por-tres.html,$500.00 MXN,"$1,000.00 MXN","matematicas"
Familias en Bienestar,https://www.skillingcenter.com/familias-en-bienestar.html,$500.00 MXN,"$1,000.00 MXN","bienestar"
Financiamiento y arrendamiento,https://www.skillingcenter.com/financiamiento-y-arrendamiento.html,$500.00 MXN,"$1,000.00 MXN","finanzas, negocios"
Flujos de Trabajo en Swift,https://www.skillingcenter.com/flujos-de-trabajo-en-swift.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Funciones del Notario Público,https://www.skillingcenter.com/funciones-del-notario-publico.html,$500.00 MXN,"$1,000.00 MXN","legal, contabilidad"
Fundamentos de calidad,https://www.skillingcenter.com/fundamentos-de-calidad.html,$500.00 MXN,"$1,000.00 MXN","calidad, negocios"
Gamificación y storytelling,https://www.skillingcenter.com/gamificacion-y-storytelling.html,$500.00 MXN,"$1,000.00 MXN","diseno, tecnologia"
Gastronomía en Medio Oriente,https://www.skillingcenter.com/gastronomia-en-medio-oriente.html,$500.00 MXN,"$1,000.00 MXN","gastronomia, cocina"
Gestión de alimentos y bebidas,https://www.skillingcenter.com/gestion-de-alimentos-y-bebidas.html,$500.00 MXN,"$1,000.00 MXN","gestion, gastronomia"
Gestión de la Administración Pública,https://www.skillingcenter.com/gestion-de-la-administracion-publica.html,$500.00 MXN,"$1,000.00 MXN","gestion, administracion"
Gestión de la organización de eventos,https://www.skillingcenter.com/gestion-de-la-organizacion-de-eventos.html,$500.00 MXN,"$1,000.00 MXN","gestion, organizacion, eventos"
Gestión de Metodologías Ágiles en TI,https://www.skillingcenter.com/gestion-de-metodologias-agiles-en-ti.html,$500.00 MXN,"$1,000.00 MXN","gestion, tecnologia"
Gestión de Software,https://www.skillingcenter.com/gestion-de-software.html,$500.00 MXN,"$1,000.00 MXN","gestion, software"
Gestión del cambio organizacional EC1205,https://www.skillingcenter.com/gestion-del-cambio-organizacional-ec1205.html,$500.00 MXN,"$1,000.00 MXN","gestion"
Gestión del tiempo,https://www.skillingcenter.com/gestion-del-tiempo.html,$500.00 MXN,"$1,000.00 MXN","gestion, general"
Global Export and Import,https://www.skillingcenter.com/global-export-and-import.html,$500.00 MXN,"$1,000.00 MXN","negocios, internacional"
Global Financial Strategy,https://www.skillingcenter.com/global-financial-strategy.html,$500.00 MXN,"$1,000.00 MXN","negocios, finanzas"
"Gobierno, Gobernanza y Gobernabilidad",https://www.skillingcenter.com/gobierno-2c-gobernanza-y-gobernabilidad.html,$500.00 MXN,"$1,000.00 MXN","gobierno"
Habilidades de Negociación y Relaciones Públicas,https://www.skillingcenter.com/habilidades-de-negociacion-y-relaciones-publicas.html,"$1,250.00 MXN","$2,500.00 MXN","negocios, relaciones"
Habilidades para la venta,https://www.skillingcenter.com/habilidades-para-la-venta.html,"$1,250.00 MXN","$2,500.00 MXN","ventas, negocios"
Habilidades para Litigantes,https://www.skillingcenter.com/habilidades-para-litigantes.html,$500.00 MXN,"$1,000.00 MXN","derecho, legal"
Hábitos de Éxito en el Deporte,https://www.skillingcenter.com/habitos-de-exito-en-el-deporte.html,$500.00 MXN,"$1,000.00 MXN","deporte"
Herramientas esenciales de PowerPoint,https://www.skillingcenter.com/herramientas-esenciales-de-powerpoint.html,$500.00 MXN,"$1,000.00 MXN","diseno, tecnologia"
Herramientas esenciales de Word,https://www.skillingcenter.com/herramientas-esenciales-de-word.html,$500.00 MXN,"$1,000.00 MXN","diseno, tecnologia"
Iluminación Digital en Maya,https://www.skillingcenter.com/iluminacion-digital-en-maya.html,$500.00 MXN,"$1,000.00 MXN","diseno, tecnologia"
Inglés para negocios,https://www.skillingcenter.com/ingles-para-negocios.html,"$1,250.00 MXN","$2,500.00 MXN","idiomas, negocios"
Instrumentos de evaluación educativa,https://www.skillingcenter.com/instrumentos-de-evaluacion-educativa.html,$500.00 MXN,"$1,000.00 MXN","educacion"
Interfaz Gráfica de Android,https://www.skillingcenter.com/interfaz-grafica-de-android.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Introducción a la Negociación,https://www.skillingcenter.com/introduccion-a-la-negociacion.html,$500.00 MXN,"$1,000.00 MXN","negocios, negociacion"
Introducción a la Programación,https://www.skillingcenter.com/introduccion-a-la-programacion.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Introducción al Ambiente de Android,https://www.skillingcenter.com/introduccion-al-ambiente-de-android.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Introducción al Capital Administrativo,https://www.skillingcenter.com/introduccion-al-capital-administrativo.html,$500.00 MXN,"$1,000.00 MXN","finanzas"
Introducción al protocolo,https://www.skillingcenter.com/introduccion-al-protocolo.html,$500.00 MXN,"$1,000.00 MXN","gestion"
Investigación de Mercados Restauranteros,https://www.skillingcenter.com/investigacion-de-mercados-restauranteros.html,$500.00 MXN,"$1,000.00 MXN","gastronomia, gestion, restaurantes"
Juegos 2D y 3D Interactivos en Unity,https://www.skillingcenter.com/juegos-2d-y-3d-interactivos-en-unity.html,$500.00 MXN,"$1,000.00 MXN","software, programacion"
Juicio Oral Civil,https://www.skillingcenter.com/juicio-oral-civil.html,$500.00 MXN,"$1,000.00 MXN","derecho, legal"
La ciencia del bienestar,https://www.skillingcenter.com/la-ciencia-del-bienestar.html,$500.00 MXN,"$1,000.00 MXN","bienestar, salud"
La Importancia de las Instituciones,https://www.skillingcenter.com/la-importancia-de-las-instituciones.html,$500.00 MXN,"$1,000.00 MXN","general"
La mejora continua Rating: 80% 1 Comentario,https://www.skillingcenter.com/la-mejora-continua.html,$500.00 MXN,"$1,000.00 MXN","general"
La Reforma Constitucional,https://www.skillingcenter.com/la-reforma-constitucional.html,$500.00 MXN,"$1,000.00 MXN","legal"
Liberando mi potencial creativo,https://www.skillingcenter.com/liberando-mi-potencial-creativo.html,$500.00 MXN,"$1,000.00 MXN","negocios, emprendimiento"
Líder positivo,https://www.skillingcenter.com/lider-positivo.html,"$1,250.00 MXN","$2,500.00 MXN","liderazgo, bienestar"
Liderazgo para el bienestar en el trabajo,https://www.skillingcenter.com/liderazgo-para-el-bienestar-en-el-trabajo.html,$500.00 MXN,"$1,000.00 MXN","liderazgo, bienestar, negocios"
Liderazgo para el bienestar laboral,https://www.skillingcenter.com/liderazgo-para-el-bienestar-laboral.html,$500.00 MXN,"$1,000.00 MXN","liderazgo, gestion, administracion"
Liderazgo y administración,https://www.skillingcenter.com/liderazgo-y-administracion.html,$500.00 MXN,"$1,000.00 MXN","liderazgo, gestion, negocios"
Liderazgo y Trabajo en Equipo,https://www.skillingcenter.com/liderazgo-y-trabajo-en-equipo.html,$500.00 MXN,"$1,000.00 MXN","liderazgo, gestion, negocios"
Manual de Calidad Aeroespacial,https://www.skillingcenter.com/manual-de-calidad-aeroespacial.html,$500.00 MXN,"$1,000.00 MXN","aeroespacial"
Marco Jurídico del Derecho Fiscal,https://www.skillingcenter.com/marco-juridico-del-derecho-fiscal.html,$500.00 MXN,"$1,000.00 MXN","legal, derecho, fiscal"
Mercado Variante Inmobiliario,https://www.skillingcenter.com/mercado-variante-inmobiliario.html,$500.00 MXN,"$1,000.00 MXN","bienesraices, ventas"
Métodos Analíticos Financieros,https://www.skillingcenter.com/metodos-analiticos-financieros.html,$500.00 MXN,"$1,000.00 MXN","analisis , finanzas"
Mi equipo mi segunda casa,https://www.skillingcenter.com/mi-equipo-mi-segunda-casa.html,$500.00 MXN,"$1,000.00 MXN","gestion"
Mi preparación nunca termina,https://www.skillingcenter.com/mi-preparacion-nunca-termina.html,$500.00 MXN,"$1,000.00 MXN","educacion"
Modelo CMMi para la Administración de TI,https://www.skillingcenter.com/modelo-cmmi-para-la-administracion-de-ti.html,$500.00 MXN,"$1,000.00 MXN","administracion, tecnologia"
Modelo ITIL para la Administracion de TI,https://www.skillingcenter.com/modelo-itil-para-la-administracion-de-ti.html,$500.00 MXN,"$1,000.00 MXN","administracion, tecnologia"
Modelos de Bases de Datos,https://www.skillingcenter.com/modelos-de-bases-de-datos.html,"$1,250.00 MXN","$2,500.00 MXN","datos, analisis, tecnologia"
Modelos de evaluación,https://www.skillingcenter.com/modelos-de-evaluacion.html,$500.00 MXN,"$1,000.00 MXN","negocios, finanzas"
Negociaciones Exitosas,https://www.skillingcenter.com/negociaciones-exitosas.html,$500.00 MXN,"$1,000.00 MXN","negociacion, negocios"
Nutrición Clínica Hospitalaria,https://www.skillingcenter.com/nutricion-clinica-hospitalaria.html,$500.00 MXN,"$1,000.00 MXN","nutricion, salud"
Nutrición en la Diabetes,https://www.skillingcenter.com/nutricion-en-la-diabetes.html,$500.00 MXN,"$1,000.00 MXN","nutricion, salud"
Operación Restaurantera,https://www.skillingcenter.com/operacion-restaurantera.html,$500.00 MXN,"$1,000.00 MXN","gestion, restaurantes"
Operaciones hoteleras,https://www.skillingcenter.com/operaciones-hoteleras.html,$500.00 MXN,"$1,000.00 MXN","gestion, logistica"
Perfil de Equipo Deportivo,https://www.skillingcenter.com/perfil-de-equipo-deportivo.html,$500.00 MXN,"$1,000.00 MXN","gestion, deporte"
Perspectiva del cliente,https://www.skillingcenter.com/perspectiva-del-cliente.html,$500.00 MXN,"$1,000.00 MXN","negocios"
Planeación de Proyectos de Software,https://www.skillingcenter.com/planeacion-de-proyectos-de-software.html,$500.00 MXN,"$1,000.00 MXN","gestion, software, tecnologia"
Planeacion Estratégica Organizacional,https://www.skillingcenter.com/planeacion-estrategica-organizacional.html,$500.00 MXN,"$1,000.00 MXN","negocios, gestion"
Planteamiento de Metas y logros,https://www.skillingcenter.com/planteamiento-de-metas-y-logros.html,"$1,250.00 MXN","$2,500.00 MXN","general, gestion"
Portafolios financieros,https://www.skillingcenter.com/portafolios-financieros.html,$500.00 MXN,"$1,000.00 MXN","finanzas"
Principios Básicos de la Cocina Árabe,https://www.skillingcenter.com/principios-basicos-de-la-cocina-arabe.html,$500.00 MXN,"$1,000.00 MXN","gastronomia, cocina"
Principios del Derecho Internacional,https://www.skillingcenter.com/principios-del-derecho-internacional.html,$500.00 MXN,"$1,000.00 MXN","derecho, legal, internacional"
Programación para Videojuegos en Unity,https://www.skillingcenter.com/programacion-para-videojuegos-en-unity.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Programación y Flujo,https://www.skillingcenter.com/programacion-y-flujo.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Programación y Funciones de Datos,https://www.skillingcenter.com/programacion-y-funciones-de-datos.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Propiedades digitales,https://www.skillingcenter.com/propiedades-digitales.html,$500.00 MXN,"$1,000.00 MXN","marketing, tecnologia"
Prospección Virtual,https://www.skillingcenter.com/prospeccion-virtual.html,$500.00 MXN,"$1,000.00 MXN","marketing, negocios"
Prototipado de Videojuegos en Unity,https://www.skillingcenter.com/prototipado-de-videojuegos-en-unity.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Recursos de bienestar,https://www.skillingcenter.com/recursos-de-bienestar.html,$500.00 MXN,"$1,000.00 MXN","bienestar, salud"
Recursos en Material Fiscal,https://www.skillingcenter.com/recursos-en-material-fiscal.html,$500.00 MXN,"$1,000.00 MXN","contabilidad, legal"
Redes y Conectividad,https://www.skillingcenter.com/redes-computacionales.html,$500.00 MXN,"$1,000.00 MXN","programacion, tecnologia"
Redes Logísticas,https://www.skillingcenter.com/redes-logisticas.html,$500.00 MXN,"$1,000.00 MXN","logistica"
Regiones Gastronómicas Griegas,https://www.skillingcenter.com/regiones-gastronomicas-griegas.html,$500.00 MXN,"$1,000.00 MXN","gastronomia"
Relación Virtual con el Cliente,https://www.skillingcenter.com/relacion-virtual-con-el-cliente.html,$500.00 MXN,"$1,000.00 MXN","negocios, tecnologia"
Relaciones Interpersonales,https://www.skillingcenter.com/relaciones-interpersonales.html,$500.00 MXN,"$1,000.00 MXN","general, bienestar"
Renderizado en Adobe Premiere Pro,https://www.skillingcenter.com/renderizado-en-adobe-premiere-pro.html,$500.00 MXN,"$1,000.00 MXN","diseno, tecnologia"
Representación Diplomática,https://www.skillingcenter.com/representacion-diplomatica.html,$500.00 MXN,"$1,000.00 MXN","negocios"
Requerimientos del Software,https://www.skillingcenter.com/requerimientos-del-software.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Resiliencia para la vida diaria,https://www.skillingcenter.com/resiliencia-para-la-vida-diaria.html,$500.00 MXN,"$1,000.00 MXN","general, bienestar"
Retos y proyectos en el aula,https://www.skillingcenter.com/retos-y-proyectos-en-el-aula.html,$500.00 MXN,"$1,000.00 MXN","educacion, gestion"
Seguridad de Excel,https://www.skillingcenter.com/seguridad-de-excel.html,$500.00 MXN,"$1,000.00 MXN","tecnologia, gestion, datos"
Seguridad en Sistemas de Información,https://www.skillingcenter.com/seguridad-en-sistemas-de-informacion.html,"$1,250.00 MXN","$2,500.00 MXN","tecnologia, programacion"
Seguridad Restaurantera,https://www.skillingcenter.com/seguridad-restaurantera.html,$500.00 MXN,"$1,000.00 MXN","restaurantes"
Siempre soy líder,https://www.skillingcenter.com/siempre-soy-lider.html,$500.00 MXN,"$1,000.00 MXN","liderazgo"
Sin rendirme hasta llegar a la cima,https://www.skillingcenter.com/sin-rendirme-hasta-llegar-a-la-cima.html,$500.00 MXN,"$1,000.00 MXN","motivacion"
Sistema de Calidad Aeroespacial,https://www.skillingcenter.com/sistema-de-calidad-aeroespacial.html,$500.00 MXN,"$1,000.00 MXN","aeroespacial"
Sistemas Gubernamentales,https://www.skillingcenter.com/sistemas-gubernamentales.html,$500.00 MXN,"$1,000.00 MXN","gobierno"
Sostenibilidad turística,https://www.skillingcenter.com/sostenibilidad-turistica.html,$500.00 MXN,"$1,000.00 MXN","turismo"
Técnicas de Intervención en Deportistas,https://www.skillingcenter.com/tecnicas-de-intervencion-en-deportistas.html,$500.00 MXN,"$1,000.00 MXN","deportes, salud"
Telemarketing como herramienta de venta,https://www.skillingcenter.com/telemarketing-como-herramienta-de-venta.html,$500.00 MXN,"$1,000.00 MXN","marketing, negocios, ventas"
Texturización de Figuras en Maya,https://www.skillingcenter.com/texturizacion-de-figuras-en-maya.html,$500.00 MXN,"$1,000.00 MXN","tecnologia, diseno"
Tipología de la Fe Pública,https://www.skillingcenter.com/tipologia-de-la-fe-publica.html,$500.00 MXN,"$1,000.00 MXN","legal"
Tipos de eventos,https://www.skillingcenter.com/tipos-de-eventos.html,$500.00 MXN,"$1,000.00 MXN","gestion, eventos"
Tipos de inventarios,https://www.skillingcenter.com/tipos-de-inventarios.html,$500.00 MXN,"$1,000.00 MXN","logistica, negocios"
Trade and Social Treaties,https://www.skillingcenter.com/trade-and-social-treaties.html,$500.00 MXN,"$1,000.00 MXN","internacional, negocios"
Tratados de Libre Comercio,https://www.skillingcenter.com/tratados-de-libre-comercio.html,$500.00 MXN,"$1,000.00 MXN","negocios, internacional"
Tratamiento para Diabetes,https://www.skillingcenter.com/tratamiento-para-diabetes.html,$500.00 MXN,"$1,000.00 MXN","salud"
Tratamientos del Síndrome Metabólico,https://www.skillingcenter.com/tratamientos-del-sindrome-metabolico.html,$500.00 MXN,"$1,000.00 MXN","nutricion, salud"
Turismo cultural de México,https://www.skillingcenter.com/turismo-cultural-de-mexico.html,$500.00 MXN,"$1,000.00 MXN","turismo"
Turismo de bienestar,https://www.skillingcenter.com/turismo-de-bienestar.html,$500.00 MXN,"$1,000.00 MXN","bienestar, turismo"
United States and Canada,https://www.skillingcenter.com/united-states-and-canada.html,$500.00 MXN,"$1,000.00 MXN","idiomas, internacional"
Venta Personal y Relaciones,https://www.skillingcenter.com/venta-personal-y-relaciones.html,$500.00 MXN,"$1,000.00 MXN","ventas, negocios"
Ventas directas,https://www.skillingcenter.com/ventas-directas.html,$500.00 MXN,"$1,000.00 MXN","ventas, negocios"
Viaje Gastronómico por España,https://www.skillingcenter.com/viaje-gastronomico-por-espa-f1a.html,$500.00 MXN,"$1,000.00 MXN","gastronomia"
